placeholder;placeholder;fir_snow_covered_leaves;placeholder;placeholder
placeholder;placeholder;fir_leaves;placeholder;placeholder
placeholder;fir_snow_covered_leaves;fir_leaves_covered_trunk;fir_snow_covered_leaves;placeholder
placeholder;fir_leaves;fir_dark_leaves_covered_trunk;fir_leaves;placeholder
fir_snow_covered_leaves;fir_dark_leaves;fir_dark_leaves_covered_trunk;fir_dark_leaves;fir_snow_covered_leaves
fir_leaves;fir_dark_leaves;fir_dark_leaves_covered_trunk;fir_dark_leaves;fir_leaves
fir_leaves;fir_dark_leaves;fir_dark_leaves_covered_trunk;fir_dark_leaves;fir_leaves
placeholder;fir_leaves;fir_leaves_covered_trunk;fir_leaves;placeholder
placeholder;placeholder;fir_trunk;placeholder;placeholder
placeholder;placeholder;fir_trunk;placeholder;placeholder
